Date,Expenses,Category,Amount,Municipality,Province,Region,ID,Transaction vs category,Transaction,GL code
1/15/2020,Transportation,Survival,41.0,Quezon City,Metro Manila,National Capital Region,E2020-1,2. Transportation - 66501,Transportation,66501
1/15/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-2,2. Transportation - 66501,Transportation,66501
1/16/2020,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-3,1. Food/Drink/Eating - 66503,Food/Drinks,66503
1/16/2020,Eating/Going Out,Optional,139.0,Quezon City,Metro Manila,National Capital Region,E2020-4,3. Eating/Going Out - 66503,Eating/Going Out,66503
1/16/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-5,2. Transportation - 66501,Transportation,66501
1/16/2020,Grocery,Survival,1174.93,Quezon City,Metro Manila,National Capital Region,E2020-6,4. Grocery - 694835,Grocery,694835
1/18/2020,Home,Obligation,300.0,Quezon City,Metro Manila,National Capital Region,E2020-7,5. Home - 694835,Home,694835
1/18/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-8,2. Transportation - 66501,Transportation,66501
1/19/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-9,2. Transportation - 66501,Transportation,66501
1/19/2020,Grocery,Survival,133.55,Quezon City,Metro Manila,National Capital Region,E2020-10,4. Grocery - 694835,Grocery,694835
1/19/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-11,2. Transportation - 66501,Transportation,66501
1/20/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-12,2. Transportation - 66501,Transportation,66501
1/20/2020,Grocery,Survival,77.17,Quezon City,Metro Manila,National Capital Region,E2020-13,4. Grocery - 694835,Grocery,694835
1/20/2020,Electricity/Water,Obligation,551.0,Quezon City,Metro Manila,National Capital Region,E2020-14,6. Electricity/Water - 65009,Electricity/Water,65009
1/20/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-15,2. Transportation - 66501,Transportation,66501
1/21/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-16,2. Transportation - 66501,Transportation,66501
1/21/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-17,2. Transportation - 66501,Transportation,66501
1/22/2020,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-18,7. Phone/Internet - 65009,Phone/Internet,65009
1/22/2020,Eating/Going Out,Optional,96.0,Quezon City,Metro Manila,National Capital Region,E2020-19,3. Eating/Going Out - 66503,Eating/Going Out,66503
1/22/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-20,2. Transportation - 66501,Transportation,66501
1/22/2020,Transportation,Survival,46.0,Quezon City,Metro Manila,National Capital Region,E2020-21,2. Transportation - 66501,Transportation,66501
1/23/2020,Food/Drinks,Optional,35.0,Quezon City,Metro Manila,National Capital Region,E2020-22,1. Food/Drink/Eating - 66503,Food/Drinks,66503
1/23/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-23,2. Transportation - 66501,Transportation,66501
1/23/2020,Grocery,Survival,174.75,Quezon City,Metro Manila,National Capital Region,E2020-24,4. Grocery - 694835,Grocery,694835
1/24/2020,Clothing/Shoes/Personal Items,Optional,802.0,Quezon City,Metro Manila,National Capital Region,E2020-25,8. Clothing/Shoes/Personal Items - 60000-010,Clothing/Shoes/Personal Items,60000-010
1/25/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-26,2. Transportation - 66501,Transportation,66501
1/25/2020,Food/Drinks,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-27,1. Food/Drink/Eating - 66503,Food/Drinks,66503
1/26/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-28,2. Transportation - 66501,Transportation,66501
1/26/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-29,2. Transportation - 66501,Transportation,66501
1/27/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-30,2. Transportation - 66501,Transportation,66501
1/27/2020,Grocery,Survival,119.0,Quezon City,Metro Manila,National Capital Region,E2020-31,4. Grocery - 694835,Grocery,694835
1/27/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-32,2. Transportation - 66501,Transportation,66501
1/28/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-33,2. Transportation - 66501,Transportation,66501
1/28/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-34,2. Transportation - 66501,Transportation,66501
1/29/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-35,2. Transportation - 66501,Transportation,66501
1/29/2020,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-36,7. Phone/Internet - 65009,Phone/Internet,65009
1/29/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-37,2. Transportation - 66501,Transportation,66501
1/29/2020,Eating/Going Out,Optional,139.0,Quezon City,Metro Manila,National Capital Region,E2020-38,3. Eating/Going Out - 66503,Eating/Going Out,66503
1/29/2020,Food/Drinks,Optional,15.0,Quezon City,Metro Manila,National Capital Region,E2020-39,1. Food/Drink/Eating - 66503,Food/Drinks,66503
1/29/2020,Grocery,Survival,88.3,Quezon City,Metro Manila,National Capital Region,E2020-40,4. Grocery - 694835,Grocery,694835
1/30/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-41,2. Transportation - 66501,Transportation,66501
1/31/2020,Grocery,Survival,940.05,Quezon City,Metro Manila,National Capital Region,E2020-42,4. Grocery - 694835,Grocery,694835
1/31/2020,Electricity/Water,Obligation,130.68,Quezon City,Metro Manila,National Capital Region,E2020-43,6. Electricity/Water - 65009,Electricity/Water,65009
1/31/2020,Transportation,Survival,10.0,Quezon City,Metro Manila,National Capital Region,E2020-44,2. Transportation - 66501,Transportation,66501
1/31/2020,Food/Drinks,Optional,5.0,Quezon City,Metro Manila,National Capital Region,E2020-45,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/1/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-46,2. Transportation - 66501,Transportation,66501
2/2/2020,Transportation,Survival,20.0,Quezon City,Metro Manila,National Capital Region,E2020-47,2. Transportation - 66501,Transportation,66501
2/2/2020,Eating/Going Out,Optional,42.0,Quezon City,Metro Manila,National Capital Region,E2020-48,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/2/2020,Transportation,Survival,28.0,Quezon City,Metro Manila,National Capital Region,E2020-49,2. Transportation - 66501,Transportation,66501
2/2/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-50,2. Transportation - 66501,Transportation,66501
2/3/2020,Food/Drinks,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-51,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/3/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-52,2. Transportation - 66501,Transportation,66501
2/3/2020,Grocery,Survival,96.35,Quezon City,Metro Manila,National Capital Region,E2020-53,4. Grocery - 694835,Grocery,694835
2/3/2020,Transportation,Survival,45.0,Quezon City,Metro Manila,National Capital Region,E2020-54,2. Transportation - 66501,Transportation,66501
2/4/2020,Food/Drinks,Obligation,30.0,Quezon City,Metro Manila,National Capital Region,E2020-55,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/4/2020,Eating/Going Out,Optional,89.0,Quezon City,Metro Manila,National Capital Region,E2020-56,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/4/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-57,2. Transportation - 66501,Transportation,66501
2/4/2020,Debt repayment,Obligation,18.0,Quezon City,Metro Manila,National Capital Region,E2020-58,9. Debt repayment - 60000-020,Debt repayment,60000-020
2/4/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-59,2. Transportation - 66501,Transportation,66501
2/5/2020,Eating/Going Out,Optional,11.0,Quezon City,Metro Manila,National Capital Region,E2020-60,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/5/2020,Eating/Going Out,Optional,79.0,Quezon City,Metro Manila,National Capital Region,E2020-61,3. Eating/Going Out - 66503,Eating/Going Out,66503
2/5/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-62,2. Transportation - 66501,Transportation,66501
2/5/2020,Phone/Internet,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-63,7. Phone/Internet - 65009,Phone/Internet,65009
2/5/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-64,2. Transportation - 66501,Transportation,66501
2/6/2020,Food/Drinks,Optional,30.0,Quezon City,Metro Manila,National Capital Region,E2020-65,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/6/2020,Transportation,Survival,40.0,Quezon City,Metro Manila,National Capital Region,E2020-66,2. Transportation - 66501,Transportation,66501
2/6/2020,Food/Drinks,Optional,50.0,Quezon City,Metro Manila,National Capital Region,E2020-67,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/7/2020,Food/Drinks,Optional,60.0,Quezon City,Metro Manila,National Capital Region,E2020-68,1. Food/Drink/Eating - 66503,Food/Drinks,66503
2/8/2020,Food/Drinks,Optional,24.0,Quezon City,Metro Manila,National Capital Region,E2020-69,1. Food/Drink/Eating - 66503,Food/Drinks,66503
